場所,レース,クラス,馬番,馬名,MSPF_expect,MSPF_expect_value,平均係数,総合判定,基準値,未勝利,コース,コース(判定),O_Month,O_Level,レベル(判定),O_Trouble,O_Bias,不利(複合判定),S_Female,S_Handi,条件(複合判定),重賞,重賞(判定),血統,血統(判定),騎手,騎手(判定),調教師,調教師(判定)
10,10_1,7,1,クロスボーダー,91.2,77.49,78.7,D,,,76.5,D,69.0,119.5,S,,,,69.5,,E,,,79.66667,D,57.11111,E,79.5,D
10,10_1,7,2,テーオーアンジェラ,89.9,75.23,75.7,D,,,67.47059,E,69.0,96.75,B,,,,66.25,,E,,,73.0,E,86.5,,70.63636,E
10,10_1,7,3,ブエノスオプティマ,86.9,70.15,67.0,E,,,80.0,,69.0,25.0,E,,82.6,,69.5,,E,,,73.22222,E,52.7,E,84.1,
10,10_1,7,4,ドウカキミニトドケ,90.2,75.64,71.9,E,,,89.35294,,69.0,10.25,E,,,,67.75,,E,,,72.44444,E,79.0,D,115.44444,S
10,10_1,7,5,サンミスメロディ,88.6,72.97,69.9,E,,,67.375,E,69.0,25.0,E,,91.3,,64.25,,E,,,80.0,,62.1,E,100.5,A
10,10_1,7,6,モーニングダリア,83.5,64.94,65.3,E,,,72.44444,E,69.0,,,,67.0,E,67.75,,E,,,80.0,,53.8,E,47.3,E
10,10_1,7,7,ブルームザスマイル,85.6,68.05,66.9,E,,,76.94118,D,69.0,60.75,E,59.667,,E,68.5,,E,,,97.22222,B,41.75,E,61.66667,E
10,10_1,7,8,アスターラングル,86.7,69.81,72.4,E,52.0,38.125,74.16667,E,69.0,,,,,,68.667,,E,,,95.125,D,69.55556,E,91.83333,
10,10_1,7,9,ポプリーニ,84.7,66.76,66.7,E,,,82.5625,,69.0,60.25,E,,,,67.75,,E,,,51.75,E,52.57143,E,82.75,
10,10_1,7,10,エアトベーレ,89.9,75.13,76.5,D,,,89.29412,,69.0,116.25,S,,,,71.0,,E,,,53.0,E,54.44444,E,82.55556,
10,10_1,7,11,モチモチチャン,89.8,75.02,76.2,D,,,67.94444,E,69.0,,,,97.15,B,64.0,,E,,,74.44444,E,79.77778,D,80.88889,
10,10_1,7,12,ジャミールアイン,83.3,64.54,60.5,E,,,74.82353,E,69.0,4.0,E,,,,70.25,,E,,,74.77778,E,66.0,E,64.9,E
10,10_1,7,13,クリコメリー,95.0,84.59,84.3,,,,66.0,E,69.0,121.25,S,69.0,,E,64.0,,E,,,86.0,,87.9,,111.4,A
10,10_1,7,14,エンジェルグラース,86.7,69.9,69.4,E,,,79.94118,D,69.0,75.75,D,,63.1,E,68.0,,E,,,60.66667,E,74.66667,E,64.1,E
10,10_1,7,15,アリストクラット,87.5,71.12,64.6,E,,,94.9375,,69.0,,,,4.0,E,68.0,,E,,,84.44444,,56.77778,E,75.25,D
10,10_1,7,16,ノーブルクロンヌ,90.4,76.09,70.9,E,,,99.94737,B,69.0,25.0,E,,,,66.5,,E,,,76.0,D,98.4,B,61.33333,E
10,10_2,7,1,ココソラーレ,81.6,62.18,60.0,E,,,110.64706,A,69.0,29.0,E,,,,,,,,,64.0,E,25.8,E,61.44444,E
10,10_2,7,2,チョウギャル,88.3,72.46,73.9,E,,,69.3125,E,69.0,112.0,A,56.667,,E,,,,,,67.88889,E,,,68.625,E
10,10_2,7,3,ビタールート,90.2,75.75,76.9,D,,,77.0625,D,69.0,109.5,A,,,,,,,,,69.0,E,46.0,E,90.66667,
10,10_2,7,4,ミトノリン,87.1,70.45,67.0,E,,,76.23529,D,69.0,31.0,E,,,,,,,,,86.44444,,86.25,,53.33333,E
10,10_2,7,5,マイネルユーゲント,92.9,80.62,79.1,D,,,76.9375,D,69.0,76.75,D,,,,,,,,,69.0,E,78.11111,D,104.9,A
10,10_2,7,6,メイショウボンテン,90.0,75.41,75.5,D,,,83.625,,69.0,74.75,E,78.667,81.133,D,,,,,,74.0,E,61.625,E,81.44444,
10,10_2,7,7,ティンクルバレット,90.4,76.05,71.7,E,,,103.76471,A,69.0,31.0,E,,,,,,,,,86.77778,,61.5,E,78.22222,D
10,10_2,7,8,ウインドトリック,89.6,74.61,74.7,E,,,72.375,E,69.0,87.0,,,,,,,,,,94.22222,,76.125,D,49.33333,E
10,10_2,7,9,アジーザム,84.3,66.07,64.0,E,,,105.625,A,69.0,30.0,E,,,,,,,,,74.88889,E,27.25,E,77.0,D
10,10_2,7,10,ナムラトレビアン,86.1,68.86,70.2,E,61.0,42.28571,96.5,B,69.0,,,,,,,,,,,79.875,D,56.33333,E,77.0,D
10,10_2,7,11,トゥモローズウェイ,83.8,65.28,63.3,E,,,104.35294,A,69.0,30.0,E,,,,,,,,,56.0,E,73.55556,E,46.9,E
10,10_2,7,12,ディオスデルマール,100.3,95.45,93.8,,,,79.5625,D,69.0,119.5,S,,,,,,,,,82.0,,32.0,E,181.0,SS
10,10_2,7,13,ハルヒメ,91.6,78.19,76.5,D,,,84.88235,,69.0,65.5,E,,,,,,,,,78.55556,D,75.25,D,85.57143,
10,10_2,7,14,ゴッドレイ,91.5,78.06,72.2,E,,,96.41176,B,69.0,30.0,E,,,,,,,,,76.0,D,88.11111,,73.8,E
10,10_2,7,15,イソダ,83.4,64.82,62.4,E,,,88.75,,69.0,31.5,E,,,,,,,,,65.0,E,36.5,E,83.6,
10,10_2,7,16,フィティテラ,86.9,70.17,69.7,E,,,91.6875,,69.0,64.0,E,,,,,,,,,76.0,D,49.11111,E,68.4,E
