場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_1,7,1,アレキサンダーサン,2.84,23.28,0.517,E,45.0,1.0,0.90185,D,1.018,0.551,E,1.0,1.0,,1.0,1.0,,1.0,,1.02271,,0.517
6,06_1,7,2,ガクエンテンゴク,6.63,54.41,0.756,E,72.0,1.0,1.02974,,1.018,0.664,E,1.0,1.054,B,1.0,1.0,,1.0,,1.03,,0.756
6,06_1,7,3,ケンブリッジルプス,0.05,0.43,0.433,E,1.0,1.0,0.8792,D,1.018,0.681,E,0.813,0.874,E,1.0,1.0,,1.0,,1.0,,0.433
6,06_1,7,4,アンプイットアップ,3.15,25.87,0.498,E,52.0,1.0,0.87627,D,1.018,0.496,E,1.0,1.0,,1.0,1.0,,1.0,,1.1252,A,0.498
6,06_1,7,5,タイキプレジール,3.96,32.5,0.493,E,66.0,1.0,0.80458,E,1.018,0.641,E,0.984,0.954,D,1.0,1.0,,1.0,,1.0,,0.493
6,06_1,7,6,ゼファーテソーロ,19.9,163.36,2.333,SS,70.0,1.0,1.27567,SS,1.018,1.601,SS,1.137,1.08,S,1.0,1.0,,1.0,,0.91389,D,2.333
6,06_1,7,7,キッショウダラニ,18.72,153.72,1.464,SS,105.0,1.0,1.3217,SS,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.08794,B,1.464
6,06_1,7,8,サンマルフォース,1.98,16.26,0.346,E,47.0,1.0,0.75683,E,1.018,0.579,E,0.776,1.0,E,1.0,1.0,,1.0,,1.0,,0.346
6,06_1,7,9,マインセーラ,5.4,44.3,0.66,E,67.0,1.0,0.95007,D,1.018,0.681,E,1.021,0.982,,1.0,1.0,,1.0,,1.0,,0.66
6,06_1,7,10,ショウナンタヅナ,8.39,68.89,0.971,,71.0,1.0,1.17364,S,1.018,0.727,E,1.0,1.0,,1.0,1.0,,1.0,,1.11735,A,0.971
6,06_1,7,11,トウシンライオット,2.54,20.89,0.387,E,54.0,1.0,0.76924,E,1.018,0.681,E,0.833,0.871,E,1.0,1.0,,1.0,,1.0,,0.387
6,06_1,7,12,ユキノサイエンス,8.79,72.18,0.87,D,83.0,1.0,1.14776,A,1.018,0.727,E,1.0,1.0,,1.0,1.0,,1.0,,1.02369,,0.87
6,06_1,7,13,サリーアン,2.42,19.91,0.432,E,46.0,1.0,0.86861,E,1.018,0.681,E,0.836,0.859,E,1.0,1.0,,1.0,,1.0,,0.432
6,06_1,7,14,スラッシュコード,4.9,40.27,0.592,E,68.0,1.0,0.91741,D,1.018,0.634,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.592
6,06_1,7,15,モーニングダリア,6.85,56.24,0.815,E,69.0,1.0,1.1135,A,1.018,0.719,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.815
6,06_1,7,16,タマリスペクト,3.48,28.59,0.583,E,49.0,1.0,0.80148,E,1.018,0.681,E,0.844,1.0,E,1.0,1.0,,1.0,,1.24339,S,0.583
6,06_2,7,1,シシリアンキッス,4.54,41.15,0.674,E,61.0,1.0,1.13022,A,1.018,0.747,E,1.0,1.0,,0.842,1.0,E,1.0,,0.93194,D,0.674
6,06_2,7,2,ニケフェリーチェ,3.61,32.79,0.529,E,62.0,1.0,0.88686,D,1.018,1.0,,0.824,0.871,E,0.794,1.0,E,1.0,,1.02792,,0.529
6,06_2,7,3,プレイメイカー,8.12,73.65,1.037,,71.0,1.0,1.1551,A,1.018,0.836,E,1.0,1.0,,1.055,1.0,B,1.0,,1.0,,1.037
6,06_2,7,4,アイアンパイク,15.57,141.28,1.989,SS,71.0,1.0,1.54444,SS,1.018,1.0,,1.0,1.0,,1.265,1.0,SS,1.0,,1.0,,1.989
6,06_2,7,5,トリエンナーレ,4.69,42.53,0.675,E,63.0,1.0,0.83097,E,1.018,0.766,E,1.0,1.0,,1.055,1.0,B,1.0,,0.98739,,0.675
6,06_2,7,6,アッシズオブローズ,7.72,70.09,1.016,,69.0,1.0,1.33571,SS,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.016
6,06_2,7,7,プリンセスダーコ,3.76,34.12,0.669,E,51.0,1.0,0.7768,E,1.018,1.0,,1.0,1.0,,0.898,1.0,D,1.0,,0.94262,D,0.669
6,06_2,7,8,アルティオーラ,4.32,39.2,0.98,,40.0,1.0,1.14304,A,1.018,1.0,,1.0,1.0,,0.842,1.0,E,1.0,,1.0,,0.98
6,06_2,7,9,ピンクサウスポー,2.69,24.43,0.509,E,48.0,1.0,0.96359,,1.018,0.653,E,1.0,1.0,,0.794,1.0,E,1.0,,1.0,,0.509
6,06_2,7,10,ビーチイン,3.82,34.64,0.481,E,72.0,1.0,0.76263,E,1.018,1.111,A,0.785,0.839,E,0.847,1.0,E,1.0,,1.0,,0.481
6,06_2,7,11,クイーンズホリデー,2.44,22.13,0.382,E,58.0,1.0,0.81483,E,1.018,0.581,E,1.0,0.848,E,0.898,1.0,D,1.0,,1.0408,D,0.382
6,06_2,7,12,イデアクリスタル,12.83,116.4,1.878,SS,62.0,1.0,1.43396,SS,1.018,1.0,,1.156,1.0,A,1.144,1.0,A,1.0,,0.97263,,1.878
6,06_2,7,13,ノーブルクラウド,7.61,69.07,1.001,,69.0,1.0,0.9514,D,1.018,1.0,,1.0,1.0,,0.842,1.0,E,1.0,,1.22705,S,1.001
6,06_2,7,14,アスパラゴ,4.95,44.94,0.977,,46.0,1.0,0.95463,D,1.018,1.0,,1.0,1.0,,0.898,1.0,D,1.0,,1.11991,A,0.977
6,06_2,7,15,ライヴマルガリータ,5.73,51.97,0.754,E,69.0,1.0,1.25461,SS,1.018,0.719,E,1.0,1.0,,0.898,1.0,D,1.0,,0.91389,D,0.754
6,06_2,7,16,ペカリーナ,7.6,68.96,1.045,D,66.0,1.0,1.09378,B,1.018,1.0,,1.0,1.0,,0.842,1.0,E,1.0,,1.11411,A,1.045
6,06_3,7,1,ハッピーカーン,7.91,49.84,0.913,D,54.6,1.0,0.89665,D,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.913
6,06_3,7,2,ゴットタレント,6.02,37.89,0.715,E,53.0,1.0,0.83185,E,1.018,1.0,,1.0,0.844,E,1.0,1.0,,1.0,,1.0,,0.715
6,06_3,7,3,アイアムアッパレ,5.91,37.22,0.908,D,41.0,1.0,1.10373,A,1.018,0.72,E,1.0,1.0,,1.0,1.0,,1.0,,1.12241,A,0.908
6,06_3,7,4,セイウォリアー,3.71,23.38,0.557,E,42.0,1.0,0.88004,D,1.018,0.574,E,1.0,1.0,,1.0,1.0,,1.0,,1.08232,B,0.557
6,06_3,7,5,ネイティヴプライド,5.76,36.25,0.575,E,63.0,1.0,0.76164,E,1.018,1.0,,0.852,0.871,E,1.0,1.0,,1.0,,1.0,,0.575
6,06_3,7,6,ホワイトナイル,3.67,23.12,0.436,E,53.0,1.0,0.80131,E,1.018,0.681,E,0.81,0.871,E,1.0,1.0,,1.0,,1.11295,A,0.436
6,06_3,7,7,ミスターキャンベラ,7.97,50.2,0.643,E,78.0,1.0,0.90722,D,1.018,0.681,E,1.023,1.0,,1.0,1.0,,1.0,,1.0,,0.643
6,06_3,7,8,ヤマメイッカ,14.26,89.79,1.122,A,80.0,1.0,0.79204,E,1.018,1.595,SS,1.0,0.897,D,1.0,1.0,,1.0,,0.9728,,1.122
6,06_3,7,9,ルアグロール,4.57,28.78,0.686,E,42.0,1.0,0.94047,D,1.018,1.0,,0.912,0.745,E,1.0,1.0,,1.0,,1.05385,B,0.686
6,06_3,7,10,ハンドフル,3.5,22.05,0.538,E,41.0,1.0,0.81567,E,1.018,0.653,E,0.784,1.0,E,1.0,1.0,,1.0,,1.26468,SS,0.538
6,06_3,7,11,サルサブラヴァ,6.99,44.03,1.0,,44.0,1.0,0.90017,D,1.018,1.0,,1.0,0.844,E,1.0,1.0,,1.0,,1.2935,SS,1.0
6,06_3,7,12,チェイサー,8.59,54.09,1.127,A,48.0,1.0,0.93619,D,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.18226,S,1.127
6,06_3,7,13,メイクイット,3.2,20.12,0.503,E,40.0,1.0,1.02751,,1.018,0.481,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.503
6,06_3,7,14,アルファシーナ,2.47,15.56,0.38,E,41.0,1.0,0.91589,D,1.018,0.49,E,0.831,1.0,E,1.0,1.0,,1.0,,1.0,,0.38
6,06_3,7,15,ショコラキュイ,4.02,25.33,0.65,E,39.0,1.0,0.86261,E,1.018,0.584,E,1.0,1.0,,1.0,1.0,,1.0,,1.26668,SS,0.65
6,06_3,7,16,ファイタージェット,11.45,72.08,0.948,D,76.0,1.0,1.0502,B,1.018,1.089,B,1.0,1.0,,1.0,1.0,,1.0,,0.81452,E,0.948
6,06_4,23,1,エコロシード,7.29,92.45,1.075,B,86.0,1.0,0.95099,D,1.038,1.0,,1.089,1.0,B,1.0,1.0,,1.0,,1.0,,1.075
6,06_4,23,2,レッドスティンガー,5.19,65.88,0.915,D,72.0,1.0,0.84039,E,1.038,1.0,,0.906,1.0,D,1.0,1.0,,1.0,,1.15829,A,0.915
6,06_4,23,3,レディサン,6.9,87.52,0.951,D,92.0,1.0,0.86911,E,1.038,0.918,D,1.0,1.032,,1.0,1.0,,1.0,,1.11322,A,0.951
6,06_4,23,4,モンサンゴールデン,6.17,78.2,0.869,E,90.0,1.0,0.95972,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.87223,D,0.869
6,06_4,23,5,ジャレッド,2.56,32.41,0.531,E,61.0,1.0,0.78496,E,1.038,0.652,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.531
6,06_4,23,6,ヴェネチアンキング,7.53,95.52,1.193,S,80.0,1.0,1.17105,S,1.038,0.681,E,1.19,1.118,SS,1.0,1.0,,1.0,,1.08343,B,1.193
6,06_4,23,7,シーグルロス,4.62,58.6,0.673,E,87.0,1.0,0.90868,D,1.038,0.714,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.673
6,06_4,23,8,アンティミスト,6.02,76.38,0.932,D,82.0,1.0,0.89423,D,1.038,1.0,,1.004,1.0,,1.0,1.0,,1.0,,1.0,,0.932
6,06_4,23,9,ビップムーラン,4.5,57.06,0.679,E,84.0,1.0,1.03308,,1.038,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,0.92979,D,0.679
6,06_4,23,10,ピュール,6.84,86.77,1.112,A,78.0,1.0,1.07161,B,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.112
6,06_4,23,11,ドナシェーン,7.19,91.21,0.992,,92.0,1.0,1.03721,,1.038,0.84,E,1.0,1.097,B,1.0,1.0,,1.0,,1.0,,0.992
6,06_4,23,12,アパタイトテソーロ,7.32,92.81,1.146,A,81.0,1.0,1.01064,,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.09219,B,1.146
6,06_4,23,13,ルクスポップスター,5.12,64.89,0.901,D,72.0,1.0,0.92249,D,1.038,1.0,,1.0,0.941,D,1.0,1.0,,1.0,,1.0,,0.901
6,06_4,23,14,ナオミライトニング,6.71,85.09,0.896,D,95.0,1.0,1.22202,S,1.038,0.769,E,1.0,1.0,,1.0,1.0,,1.0,,0.91854,D,0.896
6,06_4,23,15,セイウンアインス,5.02,63.7,0.885,D,72.0,1.0,0.85231,E,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.885
6,06_4,23,16,ジェラートキティ,11.01,139.66,1.587,SS,88.0,1.0,1.32538,SS,1.038,1.0,,1.0,1.064,B,1.0,1.0,,1.0,,1.08411,B,1.587
6,06_5,15,1,キョウエイアート,5.76,85.33,1.077,B,79.2,0.99596,1.11187,A,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.00474,,1.077
6,06_5,15,2,エスシービクトリア,5.19,76.87,0.97,,79.2,1.04683,1.00391,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.9537,D,0.97
6,06_5,15,3,パワポケグッド,5.8,85.82,1.083,B,79.2,1.08562,1.03072,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.083
6,06_5,15,4,ミリオンヴォイス,5.11,75.68,0.955,D,79.2,1.07653,0.91666,D,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.955
6,06_5,15,5,モウレツ,6.01,89.02,1.124,A,79.2,1.08996,0.98175,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.08472,B,1.124
6,06_5,15,6,サクセスゴールド,6.32,93.64,1.182,S,79.2,1.1985,1.01871,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.182
6,06_5,15,7,グラムエッジ,7.04,104.28,1.316,SS,79.2,1.48229,0.91728,D,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.316
6,06_5,15,8,サクラピアチェーレ,5.68,84.18,1.063,B,79.2,1.02986,1.16626,S,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.91389,D,1.063
6,06_5,15,9,サトノフェンサー,4.9,72.6,0.916,D,79.2,1.01125,1.00101,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.93509,D,0.916
6,06_5,15,10,ホウオウファミリー,6.44,95.38,1.204,S,79.2,1.03941,0.97428,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.2281,S,1.204
6,06_5,15,11,リクスダラー,7.82,115.78,1.461,SS,79.2,1.17673,0.95453,D,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.34405,SS,1.461
6,06_5,15,12,グランドタルマエ,7.73,114.52,1.445,SS,79.2,1.1248,1.08849,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.21967,S,1.445
6,06_5,15,13,アイデアユー,9.12,135.07,1.705,SS,79.2,1.31101,1.00371,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.3384,SS,1.705
6,06_5,15,14,アイファーウィーク,7.27,107.63,1.358,SS,79.2,1.01186,1.04788,D,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.32352,SS,1.358
6,06_5,15,15,ウインガネーシャ,4.64,68.75,0.868,E,79.2,1.01655,0.88186,D,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.868
6,06_5,15,16,マイネルスラーヴァ,5.15,76.3,0.963,,79.2,1.04981,1.0307,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.91943,D,0.963
6,06_6,7,1,ニシノヒノトリ,4.49,38.6,0.787,E,49.0,1.0,0.97145,,1.018,0.713,E,1.0,1.0,,1.0,1.0,,1.0,,1.11649,A,0.787
6,06_6,7,2,スチールナイト,6.14,52.72,0.799,E,66.0,1.0,0.9475,D,1.018,0.719,E,1.0,1.0,,1.0,1.0,,1.0,,1.15166,A,0.799
6,06_6,7,3,ジングアップ,4.95,42.55,0.788,E,54.0,1.0,1.101,A,1.018,0.703,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.788
6,06_6,7,4,ナックホワイト,9.32,80.09,0.977,,82.0,1.0,1.19446,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.07522,B,0.977
6,06_6,7,5,オーケーグレイス,0.08,0.69,0.685,E,1.0,1.0,1.00646,,1.018,0.669,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.685
6,06_6,7,6,グランドスウェル,2.95,25.38,0.819,E,31.0,1.0,1.08809,B,1.018,0.667,E,1.0,1.0,,1.0,1.0,,1.0,,1.10853,A,0.819
6,06_6,7,7,ミュークトーマス,3.98,34.23,0.634,E,54.0,1.0,0.97781,,1.018,0.643,E,1.0,1.0,,1.0,1.0,,1.0,,0.99057,,0.634
6,06_6,7,8,セイウンアズール,4.56,39.17,0.712,E,55.0,1.0,1.1759,S,1.018,0.595,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.712
6,06_6,7,9,ゴールドエンバー,5.19,44.64,0.72,E,62.0,1.0,0.94743,D,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.9994,,0.72
6,06_6,7,10,ワールドブレイヴ,5.23,44.94,0.692,E,65.0,1.0,0.93455,D,1.018,0.727,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.692
6,06_6,7,11,マイネルオラクル,3.58,30.79,0.592,E,52.0,1.0,1.04537,D,1.018,0.561,E,1.0,1.0,,1.0,1.0,,1.0,,0.99205,,0.592
6,06_6,7,12,フォーチュンローズ,7.03,60.43,1.007,,60.0,1.0,1.01834,,1.018,0.864,E,1.0,1.0,,1.0,1.0,,1.0,,1.12383,A,1.007
6,06_6,7,13,レイヒストリコ,10.06,86.48,1.03,,84.0,1.0,1.18458,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.14289,A,1.03
6,06_6,7,14,イーサンミラー,8.8,75.62,1.112,A,68.0,1.0,1.24185,S,1.018,0.88,D,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.112
6,06_6,7,15,グランアルト,5.61,48.25,0.689,E,70.0,1.0,0.9295,D,1.018,0.728,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.689
6,06_6,7,16,ウールヴヘジン,5.45,46.81,0.743,E,63.0,1.0,0.94991,D,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.02851,,0.743
6,06_6,7,17,アグアフレスカ,8.34,71.7,1.07,B,67.0,1.0,1.15797,A,1.018,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.90771,D,1.07
6,06_6,7,18,シーサンタナ,4.22,36.24,0.842,E,43.0,1.0,1.18234,S,1.018,0.628,E,1.0,1.0,,1.0,1.0,,1.0,,1.11448,A,0.842
6,06_7,23,1,ボーヌロマネ,3.02,26.6,0.38,E,70.0,1.0,0.74335,E,1.038,0.536,E,1.0,1.0,,1.0,1.0,,1.0,,0.91966,D,0.38
6,06_7,23,2,ジャクソン,5.3,46.76,0.754,E,62.0,1.0,0.94658,D,1.038,0.681,E,0.862,1.0,E,1.0,1.0,,1.0,,1.30745,SS,0.754
6,06_7,23,3,サカイシューター,1.94,17.11,0.439,E,39.0,1.0,0.87853,D,1.038,0.481,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.439
6,06_7,23,4,コスモフレディ,7.22,63.65,0.873,D,73.0,1.0,1.04223,D,1.038,0.641,E,1.0,1.0,,1.0,1.0,,1.0,,1.2583,SS,0.873
6,06_7,23,5,ドゥマーヴェリック,6.62,58.32,0.703,E,83.0,1.0,0.78591,E,1.038,0.86,E,1.0,1.0,,1.0,1.0,,1.0,,1.00181,,0.703
6,06_7,23,6,ゴットランド,5.51,48.55,0.704,E,69.0,1.0,0.97335,,1.038,0.581,E,1.0,1.0,,1.0,1.0,,1.0,,1.19905,S,0.704
6,06_7,23,7,グランプラネッタ,4.92,43.34,0.76,E,57.0,1.0,0.98065,,1.038,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.76
6,06_7,23,8,トモジャシャトー,7.88,69.49,0.965,,72.0,1.0,0.89089,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.04369,D,0.965
6,06_7,23,9,サトミノエンジェル,11.6,102.24,1.088,B,94.0,1.0,0.99743,,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.05047,B,1.088
6,06_7,23,10,モヴレクス,3.66,32.28,0.512,E,63.0,1.0,0.72952,E,1.038,0.681,E,1.0,0.946,D,1.0,1.0,,1.0,,1.05019,B,0.512
6,06_7,23,11,ショウナンタハティ,9.41,82.98,1.01,,82.2,1.0,0.87357,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.11385,A,1.01
6,06_7,23,12,ローズマイスター,14.23,125.45,1.53,SS,82.0,1.0,1.30367,SS,1.038,0.898,D,1.004,1.0,,1.0,1.0,,1.0,,1.25431,SS,1.53
6,06_7,23,13,レッドルイナール,3.61,31.8,0.448,E,71.0,1.0,0.7317,E,1.038,0.639,E,1.0,0.948,D,1.0,1.0,,1.0,,0.97329,,0.448
6,06_7,23,14,スーパーホース,8.52,75.09,0.914,D,82.2,1.0,0.87735,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.00354,,0.914
6,06_7,23,15,ロードフロリゼル,3.53,31.1,0.457,E,68.0,1.0,0.79774,E,1.038,0.498,E,1.0,1.0,,1.0,1.0,,1.0,,1.109,A,0.457
6,06_7,23,16,フォレストゲート,3.05,26.86,0.726,E,37.0,1.0,0.91902,D,1.038,1.0,,0.801,1.0,E,1.0,1.0,,1.0,,0.95005,D,0.726
6,06_8,23,1,ブラックジェダイト,5.47,71.51,0.893,D,80.0,1.0,1.00042,,1.038,0.782,E,1.0,1.0,,1.0,1.0,,1.0,,1.10024,A,0.893
