場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_1,7,1,マシン,6.82,11.46,0.181,E,70.0,1.0,0.46422,E,1.013,0.401,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.96233,,0.90301,D,0.181
10,10_1,7,2,シンゼンイセ,19.1,32.1,0.445,E,67.0,1.0,0.46315,E,1.013,0.842,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.12695,A,1.07583,B,0.445
10,10_1,7,3,ホワイトラバーズ,1.55,2.6,0.045,E,50.0,1.0,0.47458,E,1.013,0.196,E,1.0,1.0,,1.0,1.0,,1.0,,0.93754,D,0.50491,E,1.1619,S,0.045
10,10_1,7,4,オトコノロマン,4.26,7.16,0.125,E,58.0,1.0,0.18321,E,1.013,0.748,E,0.937,0.882,E,1.0,1.0,,1.0,,1.04935,D,1.04008,D,0.98489,,0.125
10,10_1,7,5,アンコールアゲイン,2.39,4.02,0.051,E,76.0,1.0,0.50392,E,1.013,0.097,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.03964,,1.02505,,0.051
10,10_1,7,6,ゴールデンドラゴン,10.09,16.95,0.393,E,50.0,1.0,0.4808,E,1.013,0.771,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.04614,D,0.86268,E,0.393
10,10_1,7,7,アーサーバローズ,21.85,36.71,0.647,E,57.0,1.0,0.9278,D,1.013,0.656,E,1.079,0.844,D,1.0,1.0,,1.0,,1.0,,1.15219,A,0.99625,,0.647
10,10_1,7,8,マカラス,23.4,39.32,0.516,E,74.0,1.0,0.44678,E,1.013,1.0,,1.0,0.926,D,1.0,1.0,,1.0,,1.1774,S,1.04632,D,1.02875,,0.516
10,10_1,7,9,ワルトシュタイン,9.8,16.46,0.29,E,70.0,1.0,0.42602,E,1.013,0.773,E,1.0,0.875,D,1.0,1.0,,1.0,,1.02062,,0.9733,,0.81034,E,0.29
10,10_1,7,10,セルシャーム,0.74,1.24,0.016,E,60.0,1.0,0.96856,,1.013,0.036,E,1.0,1.0,,1.0,1.0,,1.0,,0.43069,E,1.0589,B,1.28616,SS,0.016
