場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_1,7,1,キョウエイハル,0.19,1.18,0.037,E,32.0,1.0,1.02593,,1.013,0.036,E,1.0,1.0,,0.955,1.0,D,1.0,,1.04001,D,0.037
6,06_1,7,2,コウソクユノ,2.47,15.1,0.219,E,69.0,1.0,1.12225,A,1.013,0.197,E,1.0,0.906,D,0.988,1.0,,1.0,,1.09301,B,0.219
6,06_1,7,3,ジャメビュ,16.01,97.99,1.361,SS,72.0,1.0,1.12444,A,1.013,1.0,,0.965,1.0,,1.045,1.0,D,1.0,,1.18519,S,1.361
6,06_1,7,4,ルージュノヴァ,0.51,3.11,0.094,E,33.0,1.0,0.45809,E,1.013,0.621,E,0.886,0.932,E,0.887,1.0,D,1.0,,0.44714,E,0.094
6,06_1,7,5,フラゲルムデイ,1.7,10.4,0.336,E,31.0,1.0,0.46365,E,1.013,0.731,E,1.0,1.0,,0.887,1.0,D,1.0,,1.10209,A,0.336
6,06_1,7,6,ヴィビーム,0.47,2.9,0.038,E,76.0,1.0,1.00236,,1.013,0.036,E,1.0,1.0,,0.986,1.0,,1.0,,1.0633,B,0.038
6,06_1,7,7,チャーミングアイ,12.29,75.23,1.09,B,69.0,1.0,1.04499,D,1.013,1.0,,1.0,1.0,,1.03,1.0,,1.0,,1.0,,1.09
6,06_1,7,8,カンレイスター,3.21,19.64,0.255,E,77.0,1.0,1.13154,A,1.013,0.196,E,1.0,1.0,,1.134,1.0,A,1.0,,1.0,,0.255
6,06_1,7,9,ローズライズ,3.82,23.4,0.478,E,49.0,1.0,1.02333,,1.013,0.601,E,0.859,0.984,E,0.885,1.0,D,1.0,,1.02498,,0.478
6,06_1,7,10,フェルアフリーゼ,7.39,45.25,0.696,E,65.0,1.0,1.05352,B,1.013,0.711,E,0.957,0.938,D,0.961,1.0,,1.0,,1.06328,B,0.696
6,06_1,7,11,ライヴレッドアイ,24.64,150.76,1.796,SS,84.0,1.0,1.1815,S,1.013,1.0,,1.046,1.118,S,1.134,1.0,A,1.0,,1.13135,A,1.796
6,06_1,7,12,ルクスアンジュ,3.67,22.44,0.44,E,51.0,1.0,1.0154,,1.013,0.621,E,0.886,0.926,E,0.885,1.0,D,1.0,,0.94782,D,0.44
