場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_1,7,1,ターコイズテソーロ,4.17,38.0,0.584,E,65.0,1.0,1.12575,A,1.018,0.51,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.584
6,06_1,7,2,オッピポイカ,6.05,55.11,0.787,E,70.0,1.0,0.90696,D,1.018,1.0,,0.917,0.859,E,1.0,1.0,,1.0,,1.08265,B,0.787
6,06_1,7,3,スリーコーズ,12.84,116.98,1.662,SS,70.4,1.0,1.09419,B,1.018,1.294,SS,1.0,1.0,,1.0,1.0,,1.0,,1.15326,A,1.662
6,06_1,7,4,ニンジャトットリ,5.97,54.37,0.744,E,73.0,1.0,1.01246,,1.018,0.656,E,1.006,1.0,,1.0,1.0,,1.0,,1.0944,B,0.744
6,06_1,7,5,アイスメルティング,10.63,96.88,1.181,S,82.0,1.0,1.04535,D,1.018,1.0,,1.0,1.066,B,1.0,1.0,,1.0,,1.04148,D,1.181
6,06_1,7,6,ケイベエ,4.19,38.17,0.57,E,67.0,1.0,0.7907,E,1.018,0.741,E,1.0,1.0,,1.0,1.0,,1.0,,0.95514,D,0.57
6,06_1,7,7,ノボリフジ,3.52,32.03,0.593,E,54.0,1.0,0.89215,D,1.018,0.653,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.593
6,06_1,7,8,イトシサ,8.78,79.94,0.975,,82.0,1.0,1.28192,SS,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.975
6,06_1,7,9,カプリースカラー,5.97,54.36,0.921,D,59.0,1.0,1.26315,SS,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.95911,D,0.921
6,06_1,7,10,セイカユウヒ,5.27,48.02,0.616,E,78.0,1.0,0.99724,,1.018,0.722,E,1.0,1.0,,1.0,1.0,,1.0,,0.84005,E,0.616
6,06_1,7,11,ムーンブランシュ,2.83,25.75,0.496,E,52.0,1.0,1.13697,A,1.018,0.49,E,0.817,0.927,E,1.0,1.0,,1.0,,1.15386,A,0.496
6,06_1,7,12,ジーティーソレイユ,10.26,93.45,1.28,SS,73.0,1.0,1.52525,SS,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.10368,A,1.28
6,06_1,7,13,クールフィールド,6.65,60.55,0.829,E,73.0,1.0,0.88334,D,1.018,0.922,D,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.829
6,06_1,7,14,コロッセウム,6.96,63.42,0.893,D,71.0,1.0,0.97816,,1.018,1.0,,1.0,0.897,D,1.0,1.0,,1.0,,1.0,,0.893
6,06_1,7,15,タケノリダー,1.89,17.2,0.351,E,49.0,1.0,0.84272,E,1.018,0.409,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.351
6,06_1,7,16,コハクロン,4.03,36.74,0.656,E,56.0,1.0,1.10993,A,1.018,0.67,E,1.0,1.0,,1.0,1.0,,1.0,,0.86662,E,0.656
6,06_2,7,1,ブルーサーマル,11.46,92.21,1.213,S,76.0,1.0,1.10749,A,1.018,1.0,,0.983,1.0,,0.984,1.0,,1.0,,1.11273,A,1.213
6,06_2,7,2,サプーズ,8.08,65.04,1.162,S,56.0,1.0,1.20799,S,1.018,1.0,,1.0,1.0,,0.898,1.0,D,1.0,,1.05224,B,1.162
6,06_2,7,3,マスカルポーネ,6.68,53.77,0.815,E,66.0,1.0,0.9801,,1.018,1.0,,0.882,1.0,D,0.842,1.0,E,1.0,,1.09955,B,0.815
