場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_2,7,16,ライブリピュア,1.47,7.04,0.207,E,34.0,1.0,1.00692,,1.013,1.0,,1.0,0.93,D,0.885,1.0,D,1.0,,1.0718,B,0.22995,E,0.207
6,06_3,7,1,チェストー,3.95,16.45,0.256,E,64.0,1.0,1.19025,S,1.013,0.196,E,0.944,1.0,D,1.0,1.0,,1.0,,1.14963,A,1.0,,0.256
6,06_3,7,2,アラビアンドリーム,13.73,57.16,0.866,E,66.0,1.0,0.99809,,1.013,0.801,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0692,B,0.866
6,06_3,7,3,グスタフ,3.13,13.05,0.266,E,49.0,1.0,1.00408,,1.013,0.601,E,1.0,0.93,D,1.0,1.0,,1.0,,1.0,,0.46863,E,0.266
6,06_3,7,4,クルスデルスール,0.3,1.26,0.043,E,29.0,1.0,0.44681,E,1.013,1.0,,0.927,0.984,D,1.0,1.0,,1.0,,0.42263,E,0.2491,E,0.043
6,06_3,7,5,ベルウッドバイオ,15.54,64.72,0.83,E,78.0,1.0,1.12078,A,1.013,0.772,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.94642,D,0.83
6,06_3,7,6,フロステリオン,12.1,50.37,0.839,E,60.0,1.0,1.05304,B,1.013,0.74,E,1.0,1.0,,1.0,1.0,,1.0,,0.98271,,1.08202,B,0.839
6,06_3,7,7,ジェネラスキング,12.58,52.4,0.819,E,64.0,1.0,0.9489,D,1.013,0.823,E,1.0,0.931,D,1.0,1.0,,1.0,,1.03371,,1.07529,B,0.819
6,06_3,7,8,パラダイスフェイス,10.16,42.32,0.536,E,79.0,1.0,1.10538,A,1.013,0.395,E,1.121,1.0,A,1.0,1.0,,1.0,,1.09471,B,0.98694,,0.536
6,06_3,7,9,サイモフェーン,0.77,3.22,0.058,E,56.0,1.0,1.06806,B,1.013,0.036,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.48385,SS,0.058
6,06_3,7,10,フライデイゼーン,0.13,0.54,0.013,E,42.0,1.0,0.43608,E,1.013,0.036,E,0.897,0.932,E,1.0,1.0,,1.0,,0.95556,D,1.01348,,0.013
6,06_3,7,11,ツインドライヴ,4.49,18.69,0.435,E,43.0,1.0,1.06601,B,1.013,0.834,E,1.0,1.0,,1.0,1.0,,1.0,,0.93589,D,0.51568,E,0.435
6,06_3,7,12,ヨドノヒロイン,15.09,62.83,1.231,S,51.0,1.0,1.13081,A,1.013,1.0,,1.0,0.975,,1.0,1.0,,1.0,,0.97911,,1.12611,A,1.231
6,06_3,7,13,ディレクティオ,8.03,33.42,0.954,D,35.0,1.0,1.06059,B,1.013,1.0,,1.0,0.93,D,1.0,1.0,,1.0,,0.91478,D,1.04407,D,0.954
6,06_5,15,1,ウインアプローチ,3.97,37.92,0.487,E,77.9,0.45313,1.13382,A,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.96194,,0.487
6,06_5,15,2,ピコブロッサム,4.29,40.98,0.526,E,77.9,1.02905,1.05055,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.49411,E,0.526
6,06_5,15,3,キタノボストン,0.55,5.24,0.067,E,77.9,1.02269,1.07155,B,0.985,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.97502,,0.06394,E,0.067
