場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_2,7,14,ゴッドレイ,5.59,56.53,1.116,A,71.0,1.0,1.40499,SS,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.04472,D,0.71328,E,1.116
10,10_2,7,15,イソダ,5.24,53.0,0.716,E,68.0,1.0,0.90745,D,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.03722,,1.08891,B,0.716
10,10_2,7,16,フィティテラ,4.12,41.68,0.672,E,70.0,1.0,1.04428,D,1.018,0.696,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.90868,D,0.88577,D,0.672
10,10_2,7,17,エコロアビス,11.0,111.18,1.322,SS,88.0,1.0,1.25221,SS,1.018,0.966,,1.0,1.0,,1.0,1.0,,1.0,,0.95433,D,1.12505,A,0.95584,D,1.322
10,10_2,7,18,トリアングルレディ,2.21,22.35,0.492,E,43.0,1.0,1.02922,,1.018,0.617,E,1.0,0.893,D,1.0,1.0,,1.0,,0.8531,E,1.0,,1.05575,B,0.492
10,10_3,23,1,マカニ,6.23,44.09,0.706,E,88.0,1.0,0.90716,D,1.038,0.771,E,1.0,1.016,,1.0,1.0,,1.0,,1.0,,0.95699,D,0.70989,E,0.706
10,10_3,23,2,アイファーモービル,10.39,73.6,0.937,D,82.2,1.0,0.9825,,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.91892,D,0.95589,D,0.937
10,10_3,23,3,ララアヴリル,3.98,28.16,0.441,E,60.0,1.0,0.73327,E,1.038,0.657,E,0.953,0.915,D,1.0,1.0,,1.0,,1.0,,1.01116,,1.06492,B,0.441
10,10_3,23,4,スパークルジョイ,11.38,80.59,1.101,A,72.0,1.0,0.90573,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.22056,S,0.95918,D,1.01689,,1.101
10,10_3,23,5,ヨドノゴールド,10.99,77.79,0.98,,80.0,1.0,0.85564,E,1.038,0.891,D,1.0,1.032,,1.0,1.0,,1.0,,1.10908,A,1.08151,B,0.99313,,0.98
10,10_3,23,6,アームズクイーン,10.03,71.03,0.957,D,82.2,1.0,0.80203,E,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.12082,A,1.02537,,0.90356,D,0.957
10,10_3,23,7,カップッチョ,5.32,37.64,0.51,E,74.0,1.0,0.95055,D,1.038,0.539,E,1.0,1.0,,1.0,1.0,,1.0,,0.96496,,0.99452,,0.99642,,0.51
10,10_3,23,8,ハッピービバーク,2.91,20.57,0.446,E,40.0,1.0,0.77293,E,1.038,0.441,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.26152,SS,1.15159,A,0.446
10,10_3,23,9,オコジュ,7.48,52.99,0.668,E,76.0,1.0,0.93249,D,1.038,0.639,E,1.0,1.0,,1.0,1.0,,1.0,,1.07556,B,1.00383,,1.04433,D,0.668
10,10_3,23,10,シュシュトディエス,6.43,45.53,0.582,E,83.0,1.0,0.84697,E,1.038,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.79836,E,1.10924,A,0.94326,D,0.582
10,10_3,23,11,ヒラボクカレラ,10.01,70.91,0.995,,76.0,1.0,0.85321,E,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0573,B,1.06277,B,0.93755,D,0.995
10,10_3,23,12,ラインパシオン,6.48,45.91,0.666,E,74.0,1.0,0.89043,D,1.038,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,0.84171,E,1.25713,SS,0.93103,D,0.666
10,10_3,23,13,セイルロケット,5.26,37.24,0.468,E,86.0,1.0,0.83205,E,1.038,0.658,E,1.0,1.0,,1.0,1.0,,1.0,,0.917,D,0.89723,D,0.92588,D,0.468
10,10_3,23,14,ジェイエルバース,3.11,21.99,0.378,E,56.0,1.0,0.82829,E,1.038,0.441,E,0.814,1.0,E,1.0,1.0,,1.0,,1.10126,A,1.11089,A,1.03884,,0.378
10,10_5,15,1,エンプレスケー,4.78,65.85,1.116,A,71.6,1.08099,1.09177,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.97721,,0.82344,E,1.116
10,10_5,15,2,ポリメトリック,7.02,96.79,0.968,,71.6,1.07678,1.05032,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.88381,D,1.0,,1.39648,SS,0.968
10,10_5,15,3,ブロンディ,5.56,76.64,0.963,,71.6,1.06014,1.08506,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.78463,E,1.10178,A,1.11145,A,0.963
10,10_5,15,4,ピンクカメリア,4.96,68.43,1.092,B,71.6,1.2834,1.03886,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.94263,D,0.89797,D,0.87441,D,1.092
10,10_5,15,5,アクアホワイト,4.39,60.5,1.114,A,71.6,1.07777,1.00681,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.06041,B,0.75832,E,1.114
10,10_5,15,6,ジュエルブリス,5.5,75.8,1.087,B,71.6,1.10928,1.12123,A,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.90297,D,0.97341,,1.087
10,10_5,15,7,ヒデガミティアラ,5.62,77.42,1.24,S,71.6,1.16266,0.97298,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.08344,B,1.04521,D,0.87153,D,1.24
10,10_5,15,8,ドゥボヌール,6.92,95.43,1.667,SS,71.6,1.28119,1.09956,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.17741,S,1.03812,,0.79925,E,1.667
10,10_5,15,9,ラヴエナストロ,7.17,98.92,1.146,A,71.6,1.01936,0.97852,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.18709,S,1.20478,S,1.146
10,10_5,15,10,ファーヴニル,4.79,65.98,0.894,D,71.6,1.02463,0.97702,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.90914,D,1.01475,,1.03035,,0.894
10,10_5,15,11,レイナデルアイレ,4.67,64.44,0.744,E,71.6,1.03195,1.05939,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.75552,E,0.93003,D,1.20986,S,0.744
10,10_5,15,12,ジューンオアシス,5.11,70.51,1.092,B,71.6,1.12641,1.07283,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.95047,D,0.98256,,0.90098,D,1.092
10,10_5,15,13,フクオトコ,5.73,78.96,1.052,B,71.6,1.10265,1.00477,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.981,,1.04774,D,1.052
10,10_5,15,14,ライクアストリーク,4.79,66.0,0.969,,71.6,0.99301,1.00302,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.00518,,0.95067,D,0.969
10,10_5,15,15,ブルズアイプリンス,6.5,89.67,1.226,S,71.6,1.10491,0.99239,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.15468,A,1.02144,,1.226
10,10_5,15,16,ブロークンハート,5.9,81.32,1.029,,71.6,1.02799,1.0274,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.00656,,1.10324,A,1.029
10,10_5,15,17,シーズンインザサン,5.23,72.16,1.007,,71.6,1.11563,1.06828,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.95784,D,0.91167,D,1.0,,1.007
10,10_5,15,18,ルナティックブルー,5.36,73.86,1.073,B,71.6,1.12046,1.15031,A,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.05453,B,0.81589,E,0.96055,,1.073
10,10_6,7,1,ユウトザケンケン,5.89,32.05,0.571,E,60.0,1.0,0.82648,E,1.018,0.624,E,1.0,0.848,E,1.0,1.0,,1.0,,1.22642,S,1.04556,D,0.93507,D,0.571
10,10_6,7,2,ランブリングマン,8.39,45.65,0.819,E,64.0,1.0,0.93523,D,1.018,1.0,,1.0,0.805,E,1.0,1.0,,1.0,,1.0,,1.06903,B,0.87054,D,0.819
10,10_6,7,3,ハイビッグゴールド,8.57,46.59,0.776,E,62.0,1.0,1.08315,B,1.018,0.846,E,1.0,1.0,,1.0,1.0,,1.0,,0.92137,D,0.90246,D,0.96857,,0.776
10,10_6,7,4,メイショウゲッコウ,13.06,71.01,1.007,,73.0,1.0,0.87577,D,1.018,1.0,,0.83,0.939,E,1.0,1.0,,1.0,,1.25617,SS,1.15408,A,0.96641,,1.007
