場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_3,7,1,チェストー,8.41,42.03,0.656,E,64.0,1.0,0.97989,,1.018,0.651,E,0.909,1.0,D,1.0,1.0,,1.0,,1.11191,A,1.0,,0.656
6,06_3,7,2,アラビアンドリーム,6.8,33.99,0.515,E,66.0,1.0,0.80947,E,1.018,0.651,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.95952,D,0.515
6,06_3,7,3,グスタフ,2.91,14.54,0.297,E,49.0,1.0,0.8083,E,1.018,0.409,E,1.0,0.909,D,1.0,1.0,,1.0,,1.0,,0.96937,,0.297
6,06_3,7,4,クルスデルスール,3.9,19.49,0.673,E,29.0,1.0,0.94998,D,1.018,1.0,,0.849,0.935,E,1.0,1.0,,1.0,,0.91676,D,0.95556,D,0.673
6,06_3,7,5,ベルウッドバイオ,10.69,53.46,0.685,E,78.0,1.0,1.04355,D,1.018,0.679,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.94983,D,0.685
6,06_3,7,6,フロステリオン,8.54,42.67,0.711,E,60.0,1.0,1.09699,B,1.018,0.629,E,1.0,1.0,,1.0,1.0,,1.0,,1.01694,,0.99541,,0.711
6,06_3,7,7,ジェネラスキング,9.01,45.05,0.704,E,64.0,1.0,0.84603,E,1.018,0.829,E,1.0,0.867,E,1.0,1.0,,1.0,,1.08066,B,1.05235,B,0.704
6,06_3,7,8,パラダイスフェイス,15.72,78.58,0.994,,79.0,1.0,0.97924,,1.018,0.655,E,1.206,1.0,S,1.0,1.0,,1.0,,1.18534,S,1.06486,B,0.994
6,06_3,7,9,サイモフェーン,9.38,46.89,0.837,E,56.0,1.0,0.87193,D,1.018,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.38452,SS,0.837
6,06_3,7,10,フライデイゼーン,3.47,17.35,0.413,E,42.0,1.0,0.89542,D,1.018,0.681,E,0.799,0.874,E,1.0,1.0,,1.0,,0.91389,D,1.04136,D,0.413
6,06_3,7,11,ツインドライヴ,6.4,31.98,0.744,E,43.0,1.0,1.23126,S,1.018,0.718,E,1.0,1.0,,1.0,1.0,,1.0,,0.86008,E,0.96061,,0.744
6,06_3,7,12,ヨドノヒロイン,8.67,43.33,0.85,E,51.0,1.0,0.8879,D,1.018,1.0,,1.0,0.906,D,1.0,1.0,,1.0,,0.9627,,1.07797,B,0.85
6,06_3,7,13,ディレクティオ,6.11,30.52,0.872,D,35.0,1.0,0.92388,D,1.018,1.0,,1.0,0.909,D,1.0,1.0,,1.0,,0.9075,D,1.12348,A,0.872
6,06_5,15,1,ウインアプローチ,4.87,66.19,0.85,E,77.9,0.96122,1.10679,A,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.82545,E,0.85
6,06_5,15,2,ピコブロッサム,5.5,74.77,0.96,,77.9,1.06705,1.02785,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.90446,D,0.96
6,06_5,15,3,キタノボストン,5.57,75.7,0.972,,77.9,1.03896,1.05783,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.92092,D,0.99223,,0.972
6,06_5,15,4,ティーナ,6.12,83.07,1.067,B,77.9,1.06843,1.07987,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.95522,D,1.067
6,06_5,15,5,ターンザテーブルス,6.28,85.24,1.095,B,77.9,1.04626,1.18466,S,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.91242,D,1.095
6,06_5,15,6,ダノンケリー,9.02,122.46,1.573,SS,77.9,1.258,1.12123,A,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.1518,A,1.573
6,06_5,15,7,グンバイ,6.21,84.34,1.083,B,77.9,1.08882,1.00738,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.05227,B,0.96943,,1.083
6,06_5,15,8,サンプレクス,6.07,82.45,1.059,B,77.9,1.21162,0.9668,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.052,B,0.88765,D,1.059
6,06_5,15,9,チャリティチャリス,5.38,73.01,0.938,D,77.9,1.03246,1.00245,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.88731,D,1.05471,B,0.938
6,06_5,15,10,ヤジロベエバランス,6.42,87.24,1.12,A,77.9,1.14689,0.96627,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0943,B,0.95438,D,1.12
6,06_5,15,11,ジンカイト,7.39,100.4,1.289,SS,77.9,1.2588,1.03717,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.14523,A,0.89083,D,1.289
6,06_5,15,12,カムオンオーバー,6.7,91.07,1.17,S,77.9,1.31334,0.98986,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.15802,A,0.80254,E,1.17
6,06_5,15,13,オラロア,6.23,84.63,1.087,B,77.9,1.10725,0.91687,D,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.09411,B,1.01085,,1.087
6,06_5,15,14,ドロワ,7.27,98.71,1.268,SS,77.9,1.13857,1.05777,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.06333,B,1.02255,,1.268
6,06_5,15,15,トリトマフロックス,5.66,76.9,0.988,,77.9,1.10444,0.96224,,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.95995,D,0.988
6,06_5,15,16,スピニンググローブ,5.31,72.12,0.926,D,77.9,1.20078,1.06133,B,0.968,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.75076,E,0.926
6,06_6,23,1,テイラーテソーロ,5.89,56.15,0.851,E,66.0,1.0,0.94576,D,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.98679,,0.87815,D,0.851
6,06_6,23,2,アルデツヨシ,0.89,8.46,0.47,E,18.0,1.0,0.84361,E,1.038,0.653,E,1.0,1.0,,1.0,1.0,,1.0,,0.78052,E,1.05326,B,0.47
6,06_6,23,3,ウインドワンピース,3.87,36.85,0.614,E,60.0,1.0,0.90476,D,1.038,0.681,E,0.964,1.0,,1.0,1.0,,1.0,,1.03948,,0.95807,D,0.614
6,06_6,23,4,ノクターナル,2.18,20.75,0.371,E,56.0,1.0,0.8748,D,1.038,0.551,E,1.0,1.0,,1.0,1.0,,1.0,,0.88757,D,0.8344,E,0.371
6,06_6,23,5,クールシェルタ,3.57,34.04,0.501,E,68.0,1.0,0.81921,E,1.038,0.634,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.92857,D,0.501
6,06_6,23,6,リラゲイル,13.17,125.61,1.551,SS,81.0,1.0,1.08826,B,1.038,1.218,S,1.0,1.0,,1.0,1.0,,1.0,,1.16549,S,0.96703,,1.551
6,06_6,23,7,ロードインフェルノ,7.58,72.31,1.096,B,66.0,1.0,0.87412,D,1.038,1.0,,1.0,0.932,D,1.0,1.0,,1.0,,1.04984,D,1.2346,S,1.096
6,06_6,23,8,ツマヤ,5.28,50.38,0.68,E,74.0,1.0,0.85424,E,1.038,0.681,E,1.0,0.977,,1.0,1.0,,1.0,,1.08832,B,1.05946,B,0.68
6,06_6,23,9,アリステア,6.03,57.51,0.777,E,74.0,1.0,0.97029,,1.038,0.737,E,1.0,1.0,,1.0,1.0,,1.0,,1.08916,B,0.96168,,0.777
6,06_6,23,10,ディースプレマシー,5.74,54.75,0.693,E,79.0,1.0,0.89577,D,1.038,0.808,E,0.997,1.0,,1.0,1.0,,1.0,,0.91113,D,1.01601,,0.693
6,06_6,23,11,ノアヴィヴァーチェ,8.42,80.3,1.017,,79.0,1.0,0.92391,D,1.038,0.748,E,1.0,1.0,,1.0,1.0,,1.0,,1.49091,SS,0.9507,D,1.017
