場所,レース,クラス,馬番,馬名,MSPF_expect,MSPF_expect_value,平均係数,総合判定,基準値,未勝利,コース,コース(判定),O_Month,O_Level,レベル(判定),O_Trouble,O_Bias,不利(複合判定),S_Female,S_Handi,条件(複合判定),重賞,重賞(判定),血統,血統(判定),騎手,騎手(判定)
8,08_9,43,13,ワイノナオミ,90.5,76.27,74.5,E,,,82.94118,,66.5,78.0,D,67.333,,E,65.5,,E,,,78.22222,D,82.8,
8,08_9,43,14,ミライテーラー,87.6,71.32,65.9,E,,,99.33333,B,66.5,25.0,E,,,,70.0,,E,,,64.0,E,70.6,E
8,08_9,43,15,マジックローズ,95.3,85.22,84.9,,,,87.29412,,66.5,116.5,S,,,,80.5,,,,,82.55556,,75.90909,D
8,08_9,43,16,ミロワール,81.9,62.56,60.0,E,,,89.1875,,66.5,9.5,E,,,,59.5,,E,,,80.5,,55.1,E
8,08_10,43,1,キングブルー,89.4,74.36,67.5,E,,,80.125,,66.5,25.0,E,,74.0,E,,,,,,74.22222,E,85.1,
8,08_10,43,2,アスクキングコング,89.6,74.6,73.6,E,,,66.5,E,66.5,76.0,D,,,,,,,,,75.55556,D,83.5,
8,08_10,43,3,ワンダースティング,92.1,79.05,76.5,D,,,79.78571,D,66.5,66.5,E,,,,,,,,,78.33333,D,91.57143,
8,08_10,43,4,メイショウタイピン,83.5,64.96,54.0,E,,,84.1875,,66.5,6.667,E,64.667,18.75,E,,,,,,54.0,E,83.22222,
8,08_10,43,5,バトンインディ,87.6,71.3,70.0,E,,,75.53333,D,66.5,60.75,E,,,,,,,,,79.88889,D,67.125,E
8,08_10,43,6,スマートカイロス,95.2,84.96,85.0,,,,92.0,,66.5,,,,,,,,,,,96.44444,B,84.88889,
8,08_10,43,7,メイショウヤシマ,91.8,78.56,77.7,D,,,71.46667,E,66.5,66.5,E,,88.6,,,,,,,88.75,,84.375,
8,08_10,43,8,ショーダンサー,91.6,78.27,76.1,D,,,77.93333,D,66.5,69.5,E,,,,,,,,,89.55556,,77.1,D
8,08_10,43,9,グラティアスミノル,84.4,66.21,61.1,E,,,67.61111,E,66.5,25.0,E,73.333,,E,,,,,,70.0,E,64.22222,E
8,08_10,43,10,アルベリック,95.2,85.01,86.1,,,,73.6875,E,66.5,125.5,S,82.667,,,,,,,,89.77778,,78.44444,D
8,08_10,43,11,トーアシオン,89.8,75.11,67.9,E,,,83.26667,,66.5,25.0,E,,,,,,,,,84.22222,,80.28571,
8,08_10,43,12,バッケンレコード,86.1,68.92,62.9,E,,,69.875,E,66.5,25.0,E,,,,,,,,,69.77778,E,83.375,
8,08_10,43,13,マイティマイティー,89.7,74.9,74.0,E,,,69.83333,E,66.5,77.75,D,,,,,,,,,82.75,,73.0,E
8,08_10,43,14,メイショウカシワデ,93.4,81.48,78.7,D,,,82.2,,66.5,69.5,E,,,,,,,,,93.88889,,81.33333,
8,08_10,43,15,トゥルブレンシア,89.0,73.6,72.2,E,,,88.53333,,66.5,67.25,E,,,,,,,,,62.0,E,76.85714,D
8,08_10,43,16,メイケイロゼッタ,88.8,73.38,72.0,E,,,87.82353,,66.5,66.25,E,,,,,,,,,78.9,D,60.44444,E
8,08_11,179,1,マイネルケレリウス,89.6,74.7,72.9,E,,,98.82353,B,68.0,56.0,E,,,,,74.0,E,,,74.44444,E,66.22222,E
8,08_11,179,2,サトノグランツ,96.9,88.4,87.6,,,,116.75,S,68.0,117.25,S,,,,,72.0,E,,,64.0,E,,
8,08_11,179,3,ドクタードリトル,88.7,73.11,68.0,E,,,83.8125,,68.0,30.0,E,,,,,74.0,E,,,75.83333,D,76.55556,D
8,08_11,179,4,オールナット,89.4,74.3,70.8,E,,,93.8125,,68.0,31.667,E,,,,,76.429,D,,,59.55556,E,95.5,D
8,08_11,179,5,コーチェラバレー,95.2,84.94,83.6,,,,90.70588,,68.0,94.75,,,,,,75.0,D,,,90.44444,,82.7,
8,08_11,179,6,ゲルチュタール,96.8,88.14,87.4,,,,105.06667,A,68.0,115.0,S,,,,,77.571,D,,,84.14286,,74.6,E
8,08_11,179,7,ファミリータイム,91.3,77.72,76.0,D,,,92.52941,,68.0,65.5,E,,,,,79.714,D,,,86.66667,,63.33333,E
8,08_11,179,8,ヤマニンブークリエ,94.4,83.48,84.3,,,,100.88235,A,68.0,129.25,S,,,,,77.571,D,,,67.88889,E,62.2,E
8,08_11,179,9,リビアングラス,91.3,77.68,76.8,D,,,69.33333,E,68.0,81.5,,,,,,74.286,E,,,89.33333,,78.45455,D
8,08_11,179,10,サブマリーナ,91.5,78.04,73.3,E,,,109.07143,A,68.0,31.5,E,,,,,75.286,D,,,80.625,,75.45455,D
8,08_11,179,11,シャイニングソード,99.6,93.93,92.3,,,,131.93333,S,68.0,117.25,S,,,,,76.857,D,,,76.14286,D,83.9,
8,08_11,179,12,ライラック,90.5,76.18,70.6,E,,,91.4375,,68.0,30.0,E,,,,,72.286,E,,,76.44444,D,85.375,
8,08_11,179,13,マイネルクリソーラ,90.1,75.52,75.1,D,,,76.05556,D,68.0,83.25,,,,,,72.0,E,,,74.8,E,76.6,D
8,08_12,23,1,レッドフェルメール,95.2,84.99,85.0,,,,107.5,A,75.0,,,,,,,,,,,72.0,E,85.44444,
8,08_12,23,2,フラッシングレート,92.6,80.07,82.3,,,,94.25,,75.0,124.0,S,,,,,,,,,65.55556,E,52.8,E
8,08_12,23,3,サク,82.7,63.69,61.6,E,,,76.6875,D,75.0,10.25,E,,,,,,,,,70.0,E,76.22222,D
8,08_12,23,4,フラワームーン,87.4,71.05,71.9,E,,,75.0625,D,75.0,76.5,D,,,,,,,,,74.0,E,59.125,E
8,08_12,23,5,スイッチビスケット,99.8,94.5,86.0,,,,101.5,A,75.0,29.0,E,,,,,,,,,114.88889,A,109.6,A
8,08_12,23,6,ダイヤモンドハンズ,87.6,71.28,67.6,E,,,91.875,,75.0,31.0,E,,,,,,,,,76.375,D,63.88889,E
8,08_12,23,7,サニーサルサ,92.3,79.55,72.6,E,,,90.75,,75.0,30.0,E,,,,,,,,,91.33333,,76.11111,D
8,08_12,23,8,デビューフライト,90.4,76.14,75.9,D,,,87.125,,75.0,74.5,E,,,,,,,,,76.0,D,66.75,E
8,08_12,23,9,ジョワイユノエル,84.9,67.01,64.2,E,,,85.875,,75.0,8.75,E,,,,,,,,,70.22222,E,81.11111,
8,08_12,23,10,アフェシス,92.7,80.19,80.2,,,,72.35714,E,75.0,,,,,,,,,,,88.22222,,85.16667,
8,08_12,23,11,パスコード,89.6,74.6,70.4,E,,,86.4,,75.0,11.5,E,,,,,,,,,90.33333,,89.0,
8,08_12,23,12,シンヒダカゴールド,89.2,74.05,74.3,E,,,83.70588,,75.0,76.0,D,,,,,,,,,71.11111,E,65.7,E
8,08_12,23,13,ダノンカゼルタ,96.0,86.62,83.5,,,,114.64706,A,75.0,63.75,E,,,,,,,,,74.0,E,90.33333,
8,08_12,23,14,サーナーティオン,93.8,82.31,81.1,,,,96.4375,B,75.0,79.25,D,,,,,,,,,50.71429,E,104.25,A
8,08_12,23,15,ハイファイスピード,88.5,72.8,73.7,E,,,69.94118,E,75.0,81.25,,,,,,,,,,61.11111,E,81.0,
8,08_12,23,16,メイショウサチダケ,90.3,75.87,71.3,E,,,109.5625,A,75.0,31.5,E,,,,,,,,,76.0,D,64.66667,E
8,08_12,23,17,ブーディガ,90.8,76.72,79.0,D,,,73.11765,E,75.0,115.0,S,,,,,,,,,47.33333,E,84.75,
8,08_12,23,18,マーゴットカーラ,89.4,74.33,74.5,E,,,91.61111,,75.0,75.5,D,,,,,,,,,70.7,E,59.66667,E
