場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_1,7,1,マシン,8.48,36.48,0.603,E,70.0,1.0,0.84405,E,1.018,0.665,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.05484,B,0.8647,E,0.603
10,10_1,7,2,シンゼンイセ,13.41,57.74,0.823,E,67.0,1.0,1.01904,,1.018,0.719,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.10319,A,1.04726,D,0.823
10,10_1,7,3,ホワイトラバーズ,7.98,34.33,0.59,E,50.0,1.0,0.97439,,1.018,0.653,E,1.0,1.0,,1.0,1.0,,1.0,,0.88854,D,1.02574,,1.16308,S,0.59
10,10_1,7,4,オトコノロマン,4.19,18.04,0.36,E,58.0,1.0,0.71869,E,1.018,0.636,E,0.85,0.893,E,1.0,1.0,,1.0,,0.98926,,1.03099,,0.86369,E,0.36
10,10_1,7,5,アンコールアゲイン,15.29,65.82,0.776,E,76.0,1.0,0.99193,,1.018,0.656,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.17089,S,1.11633,A,0.776
10,10_1,7,6,ゴールデンドラゴン,9.85,42.39,0.791,E,50.0,1.0,1.0545,B,1.018,0.682,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.08069,B,1.07117,B,0.791
10,10_1,7,7,アーサーバローズ,4.78,20.56,0.381,E,57.0,1.0,0.75827,E,1.018,0.483,E,1.034,0.854,D,1.0,1.0,,1.0,,1.0,,1.15667,A,0.94683,D,0.381
10,10_1,7,8,マカラス,18.31,78.81,1.001,,74.0,1.0,0.8064,E,1.018,1.0,,1.0,0.997,,1.0,1.0,,1.0,,1.1642,S,1.05085,B,1.0633,B,1.001
10,10_1,7,9,ワルトシュタイン,8.65,37.23,0.513,E,70.0,1.0,0.793,E,1.018,0.703,E,1.0,0.897,D,1.0,1.0,,1.0,,1.09846,B,0.9174,D,1.0372,,0.513
10,10_1,7,10,セルシャーム,9.07,39.03,0.512,E,60.0,1.0,0.71665,E,1.018,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,0.94213,D,1.09322,B,1.27064,SS,0.512
10,10_2,7,1,ムーンリットビーチ,3.88,46.26,0.827,E,62.0,1.0,0.99516,,1.018,0.77,E,1.0,1.0,,1.0,1.0,,1.0,,1.07106,B,0.98976,,0.90181,D,0.827
10,10_2,7,2,ポッドリプル,4.22,50.37,0.805,E,62.0,1.0,1.17526,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.9003,D,1.0096,,0.805
10,10_2,7,3,ラップトップ,5.78,68.97,0.851,E,78.0,1.0,1.16191,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.96289,,1.03924,,0.851
10,10_2,7,4,アルヴァンドルード,25.62,305.79,3.044,SS,90.3,1.0,1.12904,A,1.018,1.751,SS,1.0,1.0,,1.0,1.0,,1.0,,1.23541,S,1.22415,S,1.11226,A,3.044
10,10_2,7,5,ヒメヒオウギ,3.48,41.59,0.741,E,66.0,1.0,0.92632,D,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.05168,B,0.85067,E,0.741
10,10_2,7,6,サトノアグード,9.51,113.54,1.079,B,80.0,1.0,1.24549,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.06016,B,1.07438,B,1.31561,SS,1.079
10,10_2,7,7,カシノスパーク,1.35,16.16,0.714,E,24.0,1.0,0.94464,D,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.88976,D,1.11698,A,0.94319,D,0.714
10,10_2,7,8,フレアオブセンス,6.12,73.02,1.016,,66.0,1.0,1.21776,S,1.018,0.769,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.06605,B,1.08896,B,1.016
10,10_2,7,9,セイウンヤオヨロズ,2.31,27.51,0.758,E,43.0,1.0,1.0565,B,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.94384,D,0.84356,E,0.758
10,10_2,7,10,ロングホリデー,8.22,98.07,1.344,SS,69.0,1.0,1.00441,,1.018,1.009,,1.0,1.0,,1.0,1.0,,1.0,,1.08377,B,1.20165,S,1.05817,B,1.344
10,10_2,7,11,ミツカネマルテ,3.16,37.77,0.617,E,77.0,1.0,1.05734,B,1.018,0.632,E,1.0,1.0,,1.0,1.0,,1.0,,0.94571,D,0.95866,D,0.79485,E,0.617
10,10_2,7,12,クータモ,4.19,50.0,0.902,D,53.0,1.0,1.06067,B,1.018,0.719,E,1.0,1.0,,1.0,1.0,,1.0,,1.14037,A,1.01866,,1.04607,D,0.902
10,10_2,7,13,ブリックアブラック,4.97,59.27,0.937,D,65.0,1.0,1.18782,S,1.018,0.727,E,1.0,1.0,,1.0,1.0,,1.0,,1.14805,A,0.92848,D,0.97292,,0.937
10,10_2,7,14,ベンティガオルサ,6.57,78.45,1.083,B,80.0,1.0,1.15004,A,1.018,0.733,E,1.0,1.0,,1.0,1.0,,1.0,,1.11343,A,1.13306,A,0.90607,D,1.083
10,10_2,7,15,ヤクジョ,6.38,76.19,0.768,E,77.0,1.0,1.05239,B,1.018,0.727,E,1.0,1.0,,1.0,1.0,,1.0,,0.92377,D,1.0673,B,1.28837,SS,0.768
10,10_2,7,16,アイムスティルミー,4.23,50.52,0.675,E,58.0,1.0,1.00048,,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,0.873,D,1.01632,,1.29034,SS,0.675
10,10_3,7,1,アルサック,8.13,60.13,0.716,E,80.0,1.0,0.88611,D,1.018,0.95,D,1.0,1.011,,1.0,1.0,,1.0,,0.83216,E,0.99254,,1.05093,B,0.716
10,10_3,7,2,カッタッパ,21.52,159.21,1.615,SS,75.0,1.0,0.91775,D,1.018,1.633,SS,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.05826,B,1.31454,SS,1.615
10,10_3,7,3,ミスヘンリー,6.9,51.06,0.625,E,71.0,1.0,0.78332,E,1.018,0.741,E,1.0,1.0,,1.0,1.0,,1.0,,1.20017,S,0.88147,D,1.1505,A,0.625
10,10_3,7,4,ドナソレイ,3.18,23.51,0.389,E,62.0,1.0,0.79835,E,1.018,0.547,E,1.0,0.876,D,1.0,1.0,,1.0,,1.0,,1.0,,0.97402,,0.389
10,10_3,7,5,カッサンドラ,6.71,49.67,0.872,D,60.0,1.0,1.16531,S,1.018,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.98387,,0.94939,D,0.872
10,10_3,7,6,アッチョンブリケ,3.52,26.07,0.541,E,53.0,1.0,0.85961,E,1.018,0.602,E,1.0,0.983,,1.0,1.0,,1.0,,1.0,,1.04472,D,0.9098,D,0.541
10,10_3,7,7,エコロレバン,7.77,57.48,0.674,E,77.0,1.0,0.91164,D,1.018,0.82,E,1.0,0.935,D,1.0,1.0,,1.0,,1.0,,0.94765,D,1.10763,A,0.674
