場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_1,7,1,アレキサンダーサン,2.02,15.07,0.335,E,45.0,1.0,0.97895,,1.013,0.731,E,1.0,1.0,,1.0,1.0,,1.0,,0.46216,E,0.335
6,06_1,7,2,ガクエンテンゴク,8.78,65.62,0.911,D,72.0,1.0,1.17774,S,1.013,0.816,E,1.0,0.893,D,1.0,1.0,,1.0,,1.04791,D,0.911
6,06_1,7,3,ケンブリッジルプス,0.0,0.01,0.014,E,1.0,1.0,0.46003,E,1.013,0.036,E,0.9,0.932,E,1.0,1.0,,1.0,,1.0,,0.014
6,06_1,7,4,アンプイットアップ,4.1,30.67,0.59,E,52.0,1.0,0.88405,D,1.013,0.595,E,1.0,1.0,,1.0,1.0,,1.0,,1.10642,A,0.59
6,06_1,7,5,タイキプレジール,6.95,51.98,0.787,E,66.0,1.0,1.03184,,1.013,0.756,E,1.02,0.977,,1.0,1.0,,1.0,,1.0,,0.787
6,06_1,7,6,ゼファーテソーロ,17.77,132.86,1.897,SS,70.0,1.0,1.33552,SS,1.013,1.3,SS,1.056,1.069,A,1.0,1.0,,1.0,,0.95556,D,1.897
6,06_1,7,7,キッショウダラニ,19.36,144.8,1.379,SS,105.0,1.0,1.24388,S,1.013,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.09445,B,1.379
6,06_1,7,8,サンマルフォース,3.49,26.1,0.556,E,47.0,1.0,0.85006,E,1.013,0.741,E,0.871,1.0,D,1.0,1.0,,1.0,,1.0,,0.556
6,06_1,7,9,マインセーラ,0.36,2.69,0.04,E,67.0,1.0,1.1703,S,1.013,0.036,E,1.016,0.93,D,1.0,1.0,,1.0,,1.0,,0.04
6,06_1,7,10,ショウナンタヅナ,9.32,69.67,0.982,,71.0,1.0,1.06362,B,1.013,0.84,E,1.0,1.0,,1.0,1.0,,1.0,,1.08458,B,0.982
