場所,レース,クラス,馬番,馬名,MSPF_expect,MSPF_expect_value,平均係数,総合判定,基準値,未勝利,コース,コース(判定),O_Month,O_Level,レベル(判定),O_Trouble,O_Bias,不利(複合判定),S_Female,S_Handi,条件(複合判定),重賞,重賞(判定),血統,血統(判定)
6,06_1,7,1,アレキサンダーサン,93.7,82.16,78.2,D,,,95.75,D,69.0,60.75,E,,,,,,,,,87.22222,
6,06_1,7,2,ガクエンテンゴク,78.0,57.16,61.8,E,,,67.75,E,69.0,5.25,E,,100.4,A,,,,,,66.66667,E
6,06_1,7,3,ケンブリッジルプス,90.6,76.4,63.5,E,,,96.77778,B,69.0,25.0,E,60.333,53.7,E,,,,,,76.0,D
6,06_1,7,4,アンプイットアップ,97.5,89.66,88.7,,,,96.1875,B,69.0,119.0,S,,,,,,,,,70.44444,E
6,06_1,7,5,タイキプレジール,89.4,74.38,74.5,E,,,74.29412,E,69.0,66.25,E,75.667,85.7,,,,,,,76.0,D
6,06_1,7,6,ゼファーテソーロ,88.8,73.31,79.1,D,,,73.58824,E,69.0,118.25,S,85.333,74.3,D,,,,,,54.0,E
6,06_1,7,7,キッショウダラニ,89.8,75.04,75.0,D,,,75.125,D,69.0,,,,,,,,,,,81.0,
6,06_1,7,8,サンマルフォース,91.5,78.02,72.5,E,,,92.0625,,69.0,61.75,E,60.667,,E,,,,,,79.0,D
6,06_1,7,9,マインセーラ,87.5,71.17,64.5,E,,,71.88235,E,69.0,25.0,E,77.667,68.55,E,,,,,,75.0,D
6,06_1,7,10,ショウナンタヅナ,86.3,69.2,64.2,E,,,98.0,B,69.0,9.75,E,,,,,,,,,80.11111,
6,06_1,7,11,トウシンライオット,88.7,73.17,65.6,E,,,75.47059,D,69.0,25.0,E,66.667,78.65,E,,,,,,79.0,D
6,06_1,7,12,ユキノサイエンス,86.6,69.76,70.4,E,,,76.4,D,69.0,79.5,D,,,,,,,,,56.88889,E
6,06_1,7,13,サリーアン,92.5,79.79,69.1,E,,,95.25,D,69.0,25.0,E,83.0,66.5,E,,,,,,76.0,D
6,06_1,7,14,スラッシュコード,97.2,89.06,88.7,,,,81.35294,,69.0,124.25,S,,,,,,,,,80.0,
6,06_1,7,15,モーニングダリア,86.0,68.69,63.9,E,,,96.25,B,69.0,10.25,E,,,,,,,,,80.0,
6,06_1,7,16,タマリスペクト,99.2,93.11,75.7,D,,,73.29412,E,69.0,25.0,E,66.25,,E,,,,,,144.9,S
6,06_2,7,1,シシリアンキッス,87.4,71.01,66.9,E,,,103.0,A,69.0,31.5,E,,,,64.0,,E,,,66.77778,E
6,06_2,7,2,ニケフェリーチェ,86.2,69.02,69.5,E,,,71.88889,E,69.0,,,61.667,78.65,E,64.25,,E,,,71.33333,E
6,06_2,7,3,プレイメイカー,97.7,90.07,88.7,,,,113.52941,A,69.0,111.75,A,,,,70.25,,E,,,79.0,D
6,06_2,7,4,アイアンパイク,89.1,73.88,73.9,E,,,83.25,,69.0,,,,,,67.25,,E,,,76.0,D
6,06_2,7,5,トリエンナーレ,92.9,80.53,79.0,D,,,104.38889,A,69.0,80.25,,,,,70.25,,E,,,71.0,E
6,06_2,7,6,アッシズオブローズ,88.9,73.48,67.4,E,,,93.66667,,69.0,30.0,E,,,,67.25,,E,,,77.0,D
6,06_2,7,7,プリンセスダーコ,89.1,73.86,73.9,E,,,86.375,,69.0,,,,,,67.75,,E,,,72.33333,E
6,06_2,7,8,アルティオーラ,89.2,74.0,74.0,E,,,87.0,,69.0,,,,,,64.0,,E,,,76.0,D
6,06_2,7,9,ピンクサウスポー,84.0,65.62,60.2,E,,,89.5,,69.0,8.5,E,,,,64.25,,E,,,70.0,E
