場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_2,7,14,ゴッドレイ,0.62,4.16,0.066,E,71.0,1.0,0.56491,E,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.10851,A,0.89033,D,0.066
10,10_2,7,15,イソダ,0.15,1.01,0.029,E,68.0,1.0,1.06206,B,1.013,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.25535,E,0.51885,E,0.029
10,10_2,7,16,フィティテラ,11.32,75.53,0.953,D,70.0,1.0,1.05833,B,1.013,0.818,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.08688,B,1.13164,A,0.953
10,10_2,7,17,エコロアビス,16.88,112.6,1.191,S,88.0,1.0,1.26572,SS,1.013,0.966,,1.0,1.0,,1.0,1.0,,1.0,,0.88729,D,1.08345,B,1.07451,B,1.191
10,10_2,7,18,トリアングルレディ,5.0,33.38,0.684,E,43.0,1.0,1.03499,,1.013,0.751,E,1.0,0.916,D,1.0,1.0,,1.0,,0.94833,D,1.0,,1.13465,A,0.684
10,10_3,23,1,マカニ,2.14,4.27,0.23,E,88.0,1.0,1.13688,A,1.019,0.789,E,1.0,1.007,,1.0,1.0,,1.0,,1.0,,0.24979,E,0.21102,E,0.23
10,10_3,23,2,アイファーモービル,15.44,30.88,0.989,,82.2,1.0,1.04405,D,1.019,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.92995,D,0.37991,E,0.989
10,10_3,23,3,ララアヴリル,3.33,6.65,0.099,E,60.0,1.0,0.40391,E,1.019,0.706,E,0.926,0.929,E,1.0,1.0,,1.0,,1.0,,0.39654,E,1.11887,A,0.099
10,10_3,23,4,スパークルジョイ,0.93,1.86,0.254,E,72.0,1.0,0.44635,E,1.019,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.2031,S,0.46455,E,0.1018,E,0.254
10,10_3,23,5,ヨドノゴールド,18.22,36.43,0.493,E,80.0,1.0,0.4572,E,1.019,0.844,E,1.0,0.995,,1.0,1.0,,1.0,,1.15181,A,1.09351,B,0.92407,D,0.493
