場所,レース,クラス,馬番,馬名,MSPF_expect,MSPF_expect_value,平均係数,総合判定,基準値,未勝利,コース,コース(判定),O_Month,O_Level,レベル(判定),O_Trouble,O_Bias,不利(複合判定),S_Female,S_Handi,条件(複合判定),重賞,重賞(判定),血統,血統(判定)
6,06_1,7,1,キョウエイハル,87.1,70.49,64.3,E,,,90.125,,69.0,25.0,E,,,,71.0,,E,,,66.5,E
6,06_1,7,2,コウソクユノ,86.5,69.48,78.2,D,,,73.5625,E,69.0,6.5,E,,182.7,SS,71.75,,E,,,65.875,E
6,06_1,7,3,ジャメビュ,99.1,92.94,96.9,B,,,74.8125,E,69.0,,,178.0,,SS,71.0,,E,,,91.55556,
6,06_1,7,4,ルージュノヴァ,87.6,71.37,67.1,E,,,92.47059,,69.0,63.5,E,59.333,53.7,E,55.0,,E,,,76.44444,D
6,06_1,7,5,フラゲルムデイ,82.2,62.95,63.8,E,,,75.8125,D,69.0,63.5,E,,,,55.0,,E,,,55.66667,E
6,06_1,7,6,ヴィビーム,81.9,62.55,58.0,E,,,75.82353,D,69.0,25.0,E,,,,66.25,,E,,,53.77778,E
6,06_1,7,7,チャーミングアイ,88.6,72.99,73.0,E,,,73.70588,E,69.0,,,,,,70.25,,E,,,79.0,D
6,06_1,7,8,カンレイスター,83.3,64.62,59.0,E,,,73.47059,E,69.0,4.0,E,,,,69.5,,E,,,79.0,D
6,06_1,7,9,ローズライズ,92.5,79.76,84.1,,,,94.33333,,69.0,88.5,,63.0,130.0,B,68.5,,E,,,75.11111,D
6,06_1,7,10,フェルアフリーゼ,95.0,84.61,81.1,,,,113.44444,A,69.0,77.5,D,96.333,65.7,,66.5,,E,,,79.55556,D
6,06_1,7,11,ライヴレッドアイ,87.9,71.79,71.6,E,,,74.0,E,69.0,,,93.667,55.3,E,69.5,,E,,,68.0,E
6,06_1,7,12,ルクスアンジュ,85.1,67.29,66.0,E,,,68.33333,E,69.0,71.5,E,57.0,60.5,E,68.5,,E,,,67.22222,E
6,06_1,7,13,オレンジキャンパス,86.7,69.93,66.6,E,,,83.375,,69.0,30.0,E,,,,71.75,,E,,,79.0,D
6,06_1,7,14,ミッキーパラソル,95.3,85.15,82.3,,,,129.94118,S,69.0,74.5,E,,,,64.0,,E,,,74.0,E
6,06_1,7,15,ジョリュウジャンシ,83.4,64.7,58.5,E,,,72.17647,E,69.0,8.333,E,56.0,,E,72.25,,E,,,73.0,E
6,06_1,7,16,オレンジリバー,91.1,77.33,79.2,D,,,86.88889,,69.0,122.5,S,,,,67.75,,E,,,50.0,E
6,06_2,7,1,フーディエラン,89.1,73.9,67.9,E,,,108.6875,A,69.0,31.0,E,,,,,,,,,63.0,E
6,06_2,7,2,ベルウッドピース,85.4,67.83,60.3,E,,,87.06667,,69.0,6.5,E,,,,,,,,,78.66667,D
6,06_2,7,3,ティラーノ,81.0,61.24,57.4,E,,,94.6875,,69.0,11.667,E,,,,,,,,,54.44444,E
6,06_2,7,4,レーヴドクロンヌ,92.3,79.46,71.6,E,,,102.94444,A,69.0,63.5,E,46.333,,E,,,,,,76.44444,D
6,06_2,7,5,ホッカイダイオー,83.9,65.47,60.3,E,,,89.8125,,69.0,8.333,E,,,,,,,,,74.0,E
6,06_2,7,6,ビリージェイ,94.3,83.23,84.6,,,,70.625,E,69.0,128.25,S,,,,,,,,,70.55556,E
6,06_2,7,7,メイプルインパクト,84.6,66.57,66.6,E,,,76.6,D,69.0,,,,,,,,,,,54.11111,E
6,06_2,7,8,コパノエイダン,92.4,79.69,81.1,,,,82.5,,69.0,127.75,S,63.0,,E,,,,,,63.44444,E
6,06_2,7,9,ジーティームーチョ,85.3,67.69,60.7,E,,,76.4,D,69.0,25.0,E,,,,,,,,,72.33333,E
6,06_2,7,10,スターゲイザー,102.4,100.23,93.6,,,,112.1875,A,69.0,82.75,,,,,,,,,,110.33333,A
6,06_2,7,11,ウインデイブレイク,91.0,77.1,77.1,D,,,83.3125,,69.0,,,,,,,,,,,79.0,D
6,06_2,7,12,アルデキングダム,87.1,70.47,70.5,E,,,89.06667,,69.0,,,,,,,,,,,53.33333,E
6,06_2,7,13,ノーブルホライズン,85.8,68.47,62.7,E,,,97.82353,B,69.0,10.0,E,,,,,,,,,74.0,E
6,06_2,7,14,トップデュオ,92.2,79.23,79.2,D,,,89.6875,,69.0,,,,,,,,,,,79.0,D
6,06_2,7,15,ニシノロッドマン,91.8,78.56,78.6,D,,,95.8125,D,69.0,,,,,,,,,,,70.875,E
